Date,Open,High,Low,Close,Volume
9-Jul-12,605.30,613.90,604.11,613.89,13550032
6-Jul-12,607.09,608.44,601.58,605.88,14965308
5-Jul-12,600.56,614.34,599.65,609.94,17299303
3-Jul-12,594.88,600.00,594.00,599.41,8632595
2-Jul-12,584.73,593.47,583.60,592.52,14288968
29-Jun-12,578.00,584.00,574.25,584.00,15051433
28-Jun-12,571.67,574.00,565.61,569.05,10108649
27-Jun-12,575.00,576.74,571.92,574.50,7252110
26-Jun-12,571.33,574.49,567.33,572.02,9883929
25-Jun-12,577.30,579.80,570.37,570.76,10869808
22-Jun-12,579.04,582.19,575.42,582.10,10169473
21-Jun-12,585.44,588.22,577.44,577.67,11660894
20-Jun-12,588.21,589.25,580.80,585.74,12827092
19-Jun-12,583.40,590.00,583.10,587.41,12907276
18-Jun-12,570.96,587.89,570.37,585.78,15728970
15-Jun-12,571.00,574.62,569.55,574.13,11973340
14-Jun-12,571.24,573.50,567.26,571.53,12351469
13-Jun-12,574.52,578.48,570.38,572.16,10491890
12-Jun-12,574.46,576.62,566.70,576.16,15556423
11-Jun-12,587.72,588.50,570.63,571.17,21116528
8-Jun-12,571.60,580.58,569.00,580.32,12410410
7-Jun-12,577.29,577.32,570.50,571.72,13570452
6-Jun-12,567.77,573.85,565.50,571.46,14337466
5-Jun-12,561.27,566.47,558.33,562.83,13864768
4-Jun-12,561.50,567.50,548.50,564.29,19892447
1-Jun-12,569.16,572.65,560.52,560.99,18606442
31-May-12,580.74,581.50,571.46,577.73,17568229
30-May-12,569.20,579.99,566.56,579.17,18907887
29-May-12,570.90,574.00,565.31,572.27,13589478
25-May-12,564.59,565.85,558.47,562.29,11730936
24-May-12,575.87,576.50,561.23,565.32,17721358
23-May-12,557.50,572.80,553.23,570.56,20889195
22-May-12,569.55,573.88,552.58,556.97,24813822
21-May-12,534.50,561.54,534.05,561.28,22538970
18-May-12,533.96,543.41,522.18,530.38,26153209
17-May-12,545.31,547.50,530.12,530.12,25614959
16-May-12,554.05,556.89,541.04,546.08,20031982
15-May-12,561.45,563.22,551.75,553.17,17010954
14-May-12,562.57,567.51,557.60,558.22,12593729
11-May-12,565.00,574.47,564.35,566.71,14269476
10-May-12,574.58,575.88,568.44,570.52,11902536
9-May-12,563.70,573.98,560.85,569.18,17167989
8-May-12,569.58,571.50,558.73,568.18,17758960
7-May-12,561.50,572.77,561.23,569.48,16439031
4-May-12,577.08,578.36,565.17,565.25,18928203
3-May-12,590.50,591.40,580.30,581.82,13948151
2-May-12,580.24,587.40,578.86,585.98,15272288
1-May-12,584.90,596.76,581.23,582.13,21821359
30-Apr-12,597.80,598.40,583.00,583.98,18076434
27-Apr-12,605.07,606.18,600.50,603.00,14527500
26-Apr-12,614.27,614.69,602.13,607.70,19145182
25-Apr-12,615.64,618.00,606.00,610.00,32346810
24-Apr-12,562.61,567.69,555.00,560.28,38442834
23-Apr-12,570.61,576.67,556.62,571.70,34518497
20-Apr-12,591.38,594.62,570.42,572.98,36820544
19-Apr-12,600.22,604.73,584.52,587.44,29811195
18-Apr-12,613.72,620.25,602.71,608.34,34090353
17-Apr-12,578.94,610.00,571.91,609.70,36624496
16-Apr-12,610.06,610.28,578.25,580.13,37528008
13-Apr-12,624.11,624.70,603.51,605.23,30701581
