Date,Open,High,Low,Close,Volume
9-Jul-12,225.00,226.00,223.45,225.05,1921979
6-Jul-12,226.35,228.90,224.18,225.05,3203230
5-Jul-12,228.62,230.50,226.53,227.06,2683610
3-Jul-12,229.14,229.53,227.59,229.53,1335952
2-Jul-12,229.30,229.34,226.34,229.32,2330930
29-Jun-12,224.70,228.35,223.71,228.35,3615572
28-Jun-12,223.92,224.62,218.75,221.31,2995338
27-Jun-12,225.01,227.50,223.30,225.62,2799580
26-Jun-12,221.45,226.39,221.45,225.61,3755034
25-Jun-12,220.30,221.59,218.00,220.07,2382265
22-Jun-12,221.83,222.51,219.35,222.16,2188063
21-Jun-12,223.84,226.03,220.52,220.58,2843130
20-Jun-12,224.51,224.74,220.84,223.02,2445774
19-Jun-12,223.26,225.20,221.66,224.03,2716819
18-Jun-12,217.28,223.76,216.73,222.66,3371446
15-Jun-12,215.29,219.33,214.46,218.35,3788005
14-Jun-12,215.26,216.50,212.56,214.45,3060973
13-Jun-12,215.52,217.38,213.52,214.73,2326254
12-Jun-12,217.65,218.00,214.52,216.42,2833765
11-Jun-12,217.49,220.87,215.20,216.50,3749085
8-Jun-12,218.61,219.42,216.66,218.48,2876904
7-Jun-12,219.65,221.49,218.11,218.80,3505416
6-Jun-12,214.63,218.40,214.52,217.64,2715054
5-Jun-12,213.85,216.86,211.16,213.21,3546441
4-Jun-12,207.40,215.35,206.37,214.57,4302341
1-Jun-12,208.44,211.23,207.30,208.22,3953691
31-May-12,209.48,213.79,207.11,212.91,4944924
30-May-12,212.14,212.98,207.75,209.23,4085414
29-May-12,214.30,216.55,212.29,214.75,2695938
25-May-12,214.99,215.98,212.22,212.89,2171364
24-May-12,216.98,217.66,212.70,215.24,3141496
23-May-12,214.71,217.55,211.18,217.28,4243774
22-May-12,218.31,218.87,213.96,215.33,3733844
21-May-12,214.03,219.98,212.82,218.11,3580096
18-May-12,219.41,219.63,212.81,213.85,5233522
17-May-12,225.05,226.00,218.09,218.36,4507911
16-May-12,225.00,228.00,222.50,224.06,5261956
15-May-12,226.50,230.61,223.00,224.39,5716858
14-May-12,225.60,227.29,222.51,222.93,3096794
11-May-12,225.95,230.68,225.73,227.68,4195541
10-May-12,223.91,229.08,221.95,226.69,4648359
9-May-12,220.59,225.78,220.16,222.98,3713431
8-May-12,223.15,225.39,218.20,223.90,4523044
7-May-12,222.36,226.87,222.29,225.16,3314226
4-May-12,227.80,229.72,223.74,223.99,4587893
3-May-12,229.74,232.53,228.03,229.45,4057859
2-May-12,227.82,231.44,227.40,230.25,4593971
1-May-12,229.40,232.97,228.40,230.04,6757217
30-Apr-12,223.95,233.84,223.05,231.90,9766512
27-Apr-12,224.83,228.69,220.22,226.85,22112329
26-Apr-12,193.57,196.36,193.02,195.99,10233980
25-Apr-12,191.67,194.80,191.60,194.42,3958413
24-Apr-12,188.68,190.70,186.51,190.33,3381850
23-Apr-12,188.99,188.99,185.51,188.24,3481356
20-Apr-12,192.34,193.48,189.80,189.98,3243745
