Date,Open,High,Low,Close,Volume
9-Jul-12,12.51,12.60,12.16,12.27,17266074
6-Jul-12,12.58,12.63,12.35,12.56,15415621
5-Jul-12,12.67,12.73,12.55,12.63,11150381
3-Jul-12,12.42,12.69,12.35,12.68,10701626
2-Jul-12,12.54,12.60,12.31,12.38,13075203
29-Jun-12,12.16,12.60,12.15,12.51,20735627
28-Jun-12,12.18,12.19,11.76,11.95,21747404
27-Jun-12,11.96,12.36,11.95,12.33,23345904
26-Jun-12,11.97,12.06,11.75,11.92,22628968
25-Jun-12,12.09,12.10,11.85,11.94,21144372
22-Jun-12,12.01,12.23,12.01,12.20,37018138
21-Jun-12,12.27,12.30,11.96,12.00,21904276
20-Jun-12,12.20,12.31,12.12,12.30,21403033
19-Jun-12,12.43,12.44,12.04,12.18,34717833
18-Jun-12,12.25,12.45,12.16,12.42,15743521
15-Jun-12,12.35,12.41,12.18,12.30,25100053
14-Jun-12,12.30,12.39,12.20,12.34,19283847
13-Jun-12,12.35,12.59,12.21,12.28,42142268
12-Jun-12,11.91,12.01,11.68,11.97,17608166
11-Jun-12,12.15,12.20,11.82,11.86,16931978
8-Jun-12,12.13,12.22,12.02,12.12,18155683
7-Jun-12,12.32,12.41,12.12,12.13,20074035
6-Jun-12,12.20,12.28,12.09,12.22,20779977
5-Jun-12,11.95,12.24,11.95,12.16,15620917
4-Jun-12,12.11,12.11,11.80,12.00,17015779
1-Jun-12,12.15,12.30,12.04,12.07,19397658
31-May-12,12.53,12.54,12.33,12.33,19955689
30-May-12,12.59,12.70,12.46,12.56,19787882
29-May-12,12.58,12.84,12.58,12.66,24174980
25-May-12,12.43,12.70,12.42,12.46,20311911
24-May-12,12.54,12.63,12.35,12.45,29707219
23-May-12,12.87,13.10,12.31,12.49,109242617
22-May-12,15.01,15.29,14.75,15.08,27540744
21-May-12,14.80,15.00,14.60,14.97,14991377
18-May-12,15.02,15.02,14.66,14.74,21887932
17-May-12,15.03,15.31,14.94,14.94,23329161
16-May-12,15.35,15.41,15.00,15.02,18569870
15-May-12,15.46,15.62,15.29,15.34,14885123
14-May-12,15.25,15.54,15.24,15.44,13875744
11-May-12,15.52,15.65,15.42,15.42,11615796
10-May-12,15.69,15.81,15.48,15.55,20608954
9-May-12,15.55,15.72,15.36,15.67,13302768
8-May-12,15.71,15.76,15.51,15.71,13159175
7-May-12,15.65,15.92,15.55,15.82,10423785
4-May-12,16.07,16.12,15.77,15.81,15351854
3-May-12,16.23,16.38,16.17,16.23,15063013
2-May-12,16.27,16.40,16.12,16.18,15642325
1-May-12,16.39,16.59,16.31,16.40,10697226
30-Apr-12,16.37,16.45,16.28,16.37,7286332
27-Apr-12,16.61,16.61,16.35,16.44,10173125
26-Apr-12,16.32,16.57,16.28,16.53,10240619
25-Apr-12,16.31,16.45,16.23,16.42,13919879
24-Apr-12,16.16,16.22,16.06,16.18,14084129
23-Apr-12,16.07,16.18,15.92,16.10,13823701
20-Apr-12,16.22,16.34,16.00,16.16,14546810
19-Apr-12,16.06,16.42,15.96,16.16,17728773
18-Apr-12,16.24,16.32,16.13,16.16,10798374
17-Apr-12,16.23,16.43,16.14,16.38,15149973
16-Apr-12,16.20,16.27,16.00,16.13,14338056
13-Apr-12,16.17,16.34,16.05,16.11,14642142
12-Apr-12,16.25,16.32,16.11,16.26,15210246
11-Apr-12,16.36,16.42,16.19,16.26,12616005
10-Apr-12,16.52,16.70,16.16,16.25,29207203
9-Apr-12,16.25,16.32,16.11,16.22,11679772
5-Apr-12,16.33,16.58,16.33,16.49,11782727
4-Apr-12,16.48,16.51,16.32,16.46,15106746
3-Apr-12,16.59,16.77,16.44,16.61,20310809
2-Apr-12,16.52,16.85,16.51,16.77,13366078
30-Mar-12,16.68,16.78,16.57,16.60,19722431
29-Mar-12,16.54,16.61,16.34,16.60,14268903
28-Mar-12,16.63,16.76,16.32,16.52,24309951
27-Mar-12,16.72,16.75,16.60,16.66,17940049
26-Mar-12,16.64,16.74,16.46,16.70,18132403
23-Mar-12,16.82,16.84,16.40,16.48,27710403
22-Mar-12,17.12,17.15,16.97,17.02,15352046
21-Mar-12,17.18,17.27,17.03,17.22,12651437
20-Mar-12,17.25,17.30,17.12,17.16,9210707
19-Mar-12,17.28,17.46,17.21,17.37,10739451
16-Mar-12,17.34,17.38,17.11,17.30,22590600
15-Mar-12,17.33,17.42,17.23,17.35,12771510
14-Mar-12,17.22,17.44,17.18,17.42,19732244
13-Mar-12,17.08,17.29,16.98,17.23,15126332
12-Mar-12,16.86,17.01,16.75,16.96,13693820
9-Mar-12,17.21,17.26,16.85,16.93,17857652
8-Mar-12,17.10,17.31,17.06,17.21,13369283
7-Mar-12,16.85,17.04,16.82,17.00,15628591
6-Mar-12,16.91,17.04,16.63,16.81,18392898
5-Mar-12,17.29,17.46,17.01,17.11,14549288
2-Mar-12,17.30,17.49,17.24,17.36,13265020
1-Mar-12,17.43,17.48,17.31,17.38,14238625
29-Feb-12,17.57,17.70,17.27,17.30,19063878
28-Feb-12,17.50,17.66,17.39,17.58,16861185
27-Feb-12,17.32,17.67,17.18,17.52,20940428
24-Feb-12,17.47,17.64,17.37,17.43,17539854
23-Feb-12,17.08,17.56,17.05,17.40,26794905
