Date,Open,High,Low,Close,Volume
9-Jul-12,19.99,20.04,19.91,20.04,32981135
6-Jul-12,20.16,20.26,19.95,20.00,56250877
5-Jul-12,20.34,20.48,20.29,20.33,29047342
3-Jul-12,20.38,20.50,20.33,20.43,21247371
2-Jul-12,20.74,20.82,20.28,20.49,61728049
29-Jun-12,20.42,20.84,20.42,20.84,73025632
28-Jun-12,19.92,20.20,19.87,20.20,56876039
27-Jun-12,19.91,20.19,19.89,20.13,53796906
26-Jun-12,19.54,19.90,19.51,19.80,58739769
25-Jun-12,19.48,19.60,19.29,19.52,44663795
22-Jun-12,19.68,19.91,19.51,19.81,51395151
21-Jun-12,19.99,20.07,19.46,19.53,60933560
20-Jun-12,20.00,20.15,19.85,20.10,46746988
19-Jun-12,19.87,20.14,19.85,20.00,43183158
18-Jun-12,19.88,19.98,19.75,19.75,41976725
15-Jun-12,19.87,20.00,19.75,20.00,59803390
14-Jun-12,19.36,19.77,19.24,19.72,62343806
13-Jun-12,19.25,19.54,19.20,19.37,40217491
12-Jun-12,19.16,19.48,19.09,19.48,47105771
11-Jun-12,19.35,19.43,19.07,19.11,51452761
8-Jun-12,18.98,19.25,18.90,19.20,107938072
7-Jun-12,19.09,19.20,18.90,19.00,139356677
6-Jun-12,18.39,18.88,18.31,18.88,42885177
5-Jun-12,18.08,18.30,18.02,18.24,38446883
4-Jun-12,18.44,18.51,18.05,18.15,66598068
1-Jun-12,18.82,18.99,18.41,18.54,60949390
31-May-12,19.01,19.22,18.87,19.09,49057830
30-May-12,19.19,19.20,18.99,19.04,41845686
29-May-12,19.29,19.43,19.20,19.35,35650328
25-May-12,19.29,19.42,19.12,19.20,26849640
24-May-12,19.15,19.39,19.02,19.25,41881328
23-May-12,19.12,19.21,18.75,19.18,63503762
22-May-12,19.16,19.29,19.06,19.18,47194608
21-May-12,18.99,19.19,18.95,19.12,38608815
18-May-12,18.95,19.16,18.85,18.95,61139528
17-May-12,18.95,19.13,18.87,18.88,52169485
16-May-12,18.89,19.26,18.71,19.00,85034893
15-May-12,18.55,18.67,18.32,18.40,47568505
14-May-12,18.82,18.84,18.55,18.60,46978276
11-May-12,18.92,19.27,18.91,19.01,26289275
10-May-12,19.12,19.23,19.01,19.09,35334510
9-May-12,19.00,19.04,18.74,18.91,61707192
8-May-12,19.23,19.33,19.02,19.25,40305127
7-May-12,19.15,19.48,19.14,19.32,35750954
4-May-12,19.56,19.59,19.25,19.34,34798925
3-May-12,19.80,19.80,19.57,19.61,24201229
2-May-12,19.72,19.78,19.52,19.77,33670431
1-May-12,19.58,19.95,19.46,19.80,35021613
30-Apr-12,19.68,19.75,19.44,19.58,32881668
27-Apr-12,19.69,19.87,19.60,19.78,34210054
26-Apr-12,19.43,19.71,19.40,19.62,34593929
25-Apr-12,19.77,19.81,19.42,19.45,48353673
24-Apr-12,19.19,19.60,19.11,19.54,49572581
23-Apr-12,19.06,19.12,18.94,19.07,52049515
20-Apr-12,19.43,19.64,19.25,19.36,67938316
19-Apr-12,19.17,19.25,18.97,19.14,52169001
18-Apr-12,19.23,19.34,19.04,19.10,33336130
17-Apr-12,19.03,19.36,18.92,19.34,35526349
16-Apr-12,18.98,19.13,18.85,18.90,30066742
13-Apr-12,19.18,19.18,18.86,18.88,40319656
12-Apr-12,19.01,19.32,18.96,19.30,28225802
11-Apr-12,19.02,19.15,18.98,19.01,37828061
10-Apr-12,19.12,19.13,18.70,18.74,54454478
9-Apr-12,19.10,19.27,19.07,19.20,36361276
5-Apr-12,19.61,19.71,19.46,19.49,39963753
4-Apr-12,19.65,19.81,19.62,19.74,43699532
3-Apr-12,19.97,20.02,19.80,19.96,43586752
2-Apr-12,20.03,20.11,19.90,20.02,44170565
30-Mar-12,20.07,20.13,19.95,20.07,40989510
29-Mar-12,19.82,19.97,19.71,19.95,40666279
28-Mar-12,20.02,21.00,19.76,20.01,55433074
27-Mar-12,20.12,20.14,20.01,20.04,38323251
26-Mar-12,19.98,20.11,19.92,20.05,42967920
23-Mar-12,19.79,19.91,19.70,19.78,34213925
22-Mar-12,19.95,19.96,19.69,19.85,50758849
21-Mar-12,20.16,20.32,20.04,20.07,51106012
20-Mar-12,20.02,20.21,19.98,20.07,47538067
19-Mar-12,20.08,20.36,20.06,20.21,42727109
16-Mar-12,20.26,20.30,20.01,20.20,79245321
15-Mar-12,19.87,20.20,19.86,20.16,76328140
14-Mar-12,19.63,19.89,19.58,19.79,71357915
13-Mar-12,19.20,19.66,19.09,19.59,63925163
12-Mar-12,19.09,19.19,19.04,19.13,35353860
9-Mar-12,19.02,19.18,18.92,19.04,37487053
8-Mar-12,18.98,19.09,18.92,19.03,35984877
7-Mar-12,18.58,18.85,18.55,18.77,54451185
6-Mar-12,18.60,18.61,18.32,18.42,56253542
5-Mar-12,18.95,18.98,18.73,18.85,35572550
2-Mar-12,19.14,19.14,18.90,18.97,36230486
1-Mar-12,19.15,19.19,19.03,19.12,37339079
29-Feb-12,19.18,19.25,19.01,19.05,44669877
28-Feb-12,19.12,19.19,18.99,19.16,35027597
27-Feb-12,19.02,19.31,18.98,19.07,37531231
24-Feb-12,19.36,19.37,19.14,19.24,23927033
23-Feb-12,19.07,19.37,19.00,19.31,45633119
22-Feb-12,19.43,19.47,19.18,19.39,40883111
21-Feb-12,19.42,19.50,19.32,19.41,41931202
17-Feb-12,19.18,19.32,19.11,19.28,58083491
16-Feb-12,18.86,19.03,18.80,19.01,40517282
15-Feb-12,19.01,19.02,18.70,18.76,41438747
14-Feb-12,18.93,19.08,18.80,18.94,39234324
13-Feb-12,19.03,19.08,18.89,19.07,104299088
10-Feb-12,18.99,19.01,18.77,18.88,109554509
9-Feb-12,19.31,19.35,19.11,19.13,44183420
8-Feb-12,19.19,19.31,19.08,19.24,33680798
7-Feb-12,19.02,19.20,18.91,19.18,36048838
6-Feb-12,18.99,19.15,18.95,19.05,42739078
3-Feb-12,19.00,19.10,18.92,19.02,44886568
2-Feb-12,18.85,18.93,18.70,18.75,37818773
1-Feb-12,18.94,19.06,18.75,18.77,52023967
31-Jan-12,18.98,19.01,18.69,18.71,46257767
30-Jan-12,18.83,18.92,18.70,18.90,37731086
27-Jan-12,19.00,19.13,18.92,19.03,32617690
26-Jan-12,19.26,19.27,18.98,19.07,42493452
25-Jan-12,18.83,19.16,18.79,19.13,51250162
24-Jan-12,18.84,18.86,18.75,18.84,39736682
23-Jan-12,19.09,19.24,18.90,18.94,50584572
20-Jan-12,18.81,19.20,18.68,19.15,92432222
19-Jan-12,19.03,19.19,18.93,19.15,53907545
18-Jan-12,18.58,19.05,18.56,19.02,52912600
17-Jan-12,18.99,19.10,18.68,18.74,49214839
13-Jan-12,18.84,18.84,18.84,18.84,0
12-Jan-12,18.96,19.00,18.76,18.93,38958098
11-Jan-12,18.55,18.95,18.50,18.88,47868240
10-Jan-12,19.01,19.05,18.62,18.72,59345419
9-Jan-12,18.74,18.88,18.56,18.86,46987399
6-Jan-12,18.73,18.79,18.56,18.65,51077228
5-Jan-12,18.46,18.60,18.29,18.55,45819130
4-Jan-12,18.31,18.60,18.28,18.56,42756809
3-Jan-12,18.23,18.50,18.23,18.36,58713133
30-Dec-11,17.91,17.91,17.91,17.91,0
29-Dec-11,17.81,18.12,17.79,18.07,43269658
28-Dec-11,18.00,18.02,17.72,17.83,39272556
27-Dec-11,18.18,18.20,18.01,18.01,42257429
23-Dec-11,18.23,18.23,18.23,18.23,0
22-Dec-11,17.70,18.14,17.65,18.05,95632535
21-Dec-11,17.32,17.77,17.15,17.69,80290090
20-Dec-11,17.05,17.39,17.04,17.28,61471272
19-Dec-11,16.97,17.10,16.79,16.86,66302819
16-Dec-11,16.94,17.09,16.91,17.01,96493257
15-Dec-11,16.82,16.87,16.59,16.79,61438304
14-Dec-11,16.34,16.77,16.30,16.61,89095068
13-Dec-11,16.56,16.72,16.30,16.42,73866341
12-Dec-11,16.71,16.86,16.32,16.46,179405440
9-Dec-11,16.38,16.98,16.36,16.84,85737912
8-Dec-11,16.58,16.65,16.25,16.31,79725093
7-Dec-11,16.68,16.83,16.53,16.74,65335139
6-Dec-11,16.50,16.92,16.47,16.72,83017287
5-Dec-11,16.35,16.50,16.18,16.33,61584932
2-Dec-11,16.04,16.30,16.04,16.09,68438348
1-Dec-11,15.89,16.00,15.73,15.91,58202724
30-Nov-11,15.31,15.91,15.26,15.91,98619778
29-Nov-11,14.91,15.15,14.82,14.92,80462539
28-Nov-11,15.23,15.25,14.68,14.80,77629580
25-Nov-11,14.76,15.02,14.70,14.70,23163628
23-Nov-11,14.73,14.73,14.73,14.73,0
22-Nov-11,15.29,15.29,14.98,14.99,74944684
21-Nov-11,15.48,15.49,15.20,15.24,67277835
18-Nov-11,15.77,15.85,15.62,15.65,46847150
17-Nov-11,15.98,16.05,15.50,15.64,67472809
16-Nov-11,16.07,16.25,15.92,15.95,52940381
15-Nov-11,16.03,16.32,16.03,16.20,39777017
14-Nov-11,16.22,16.28,16.02,16.10,40157999
11-Nov-11,16.24,16.47,16.23,16.30,50227784
10-Nov-11,16.08,16.19,15.97,16.06,59277683
9-Nov-11,16.15,16.19,15.75,15.85,78632083
8-Nov-11,16.44,16.49,16.26,16.48,53907852
7-Nov-11,16.37,16.43,16.11,16.39,41221682
4-Nov-11,16.55,16.56,16.23,16.39,41678462
3-Nov-11,16.52,16.69,16.36,16.67,54881753
2-Nov-11,16.37,16.52,16.16,16.25,48168409
1-Nov-11,16.13,16.35,15.97,16.02,89785921
31-Oct-11,16.98,17.01,16.70,16.71,49912931
28-Oct-11,17.18,17.34,17.11,17.25,57773691
27-Oct-11,16.96,17.50,16.81,17.22,110525900
26-Oct-11,16.41,16.51,16.22,16.35,66600565
25-Oct-11,16.46,16.49,16.05,16.22,82365056
24-Oct-11,16.37,16.69,16.32,16.45,67050379
21-Oct-11,16.37,16.53,16.13,16.31,113734359
20-Oct-11,16.57,16.80,16.33,16.63,55091334
19-Oct-11,16.71,16.87,16.41,16.52,51901813
18-Oct-11,16.25,16.98,16.24,16.71,65456947
17-Oct-11,16.49,16.60,16.19,16.23,46871676
14-Oct-11,16.42,16.65,16.40,16.60,45142652
13-Oct-11,16.23,16.31,16.02,16.22,46136083
12-Oct-11,16.25,16.58,16.25,16.40,61761082
11-Oct-11,15.98,16.22,15.96,16.14,46005456
10-Oct-11,15.79,16.14,15.76,16.14,56216314
7-Oct-11,15.70,15.74,15.24,15.50,65570877
6-Oct-11,15.27,15.54,14.96,15.53,64951115
5-Oct-11,14.94,15.33,14.75,15.27,79545845
4-Oct-11,14.49,14.91,14.02,14.86,111980094
3-Oct-11,15.10,15.39,14.68,14.69,92701596
30-Sep-11,15.65,15.73,15.19,15.22,76368361
29-Sep-11,15.82,15.95,15.50,15.86,60698965
28-Sep-11,15.75,16.00,15.42,15.45,57403030
27-Sep-11,15.81,16.07,15.67,15.76,80397287
26-Sep-11,15.40,15.62,15.07,15.57,93908558
23-Sep-11,14.90,15.25,14.86,15.21,65518622
22-Sep-11,14.96,15.22,14.82,15.04,113698390
21-Sep-11,15.97,16.07,15.36,15.38,74391261
20-Sep-11,16.25,16.45,16.04,16.04,56239906
19-Sep-11,15.98,16.27,15.87,16.18,54153527
16-Sep-11,16.22,16.40,16.07,16.33,89204906
15-Sep-11,15.90,16.10,15.84,16.08,67335512
14-Sep-11,15.48,16.04,15.20,15.79,91340508
13-Sep-11,15.02,15.46,14.86,15.41,83300620
12-Sep-11,15.01,15.28,14.72,15.01,169797179
9-Sep-11,15.38,15.70,15.03,15.09,144440926
8-Sep-11,15.69,15.83,15.49,15.59,117920781
7-Sep-11,15.50,15.85,15.44,15.80,60239307
6-Sep-11,15.25,15.29,15.00,15.25,97476276
2-Sep-11,15.85,15.92,15.55,15.76,61748844
1-Sep-11,16.31,16.45,16.15,16.20,61219114
31-Aug-11,16.24,16.49,16.16,16.31,62878746
30-Aug-11,15.95,16.24,15.75,16.12,48565087
29-Aug-11,15.79,16.06,15.75,16.04,47765612
26-Aug-11,15.40,15.68,15.10,15.54,62374609
25-Aug-11,15.94,16.05,15.34,15.45,67824937
24-Aug-11,15.48,15.75,15.42,15.72,65400212
23-Aug-11,15.17,15.54,15.11,15.54,70120992
22-Aug-11,15.55,15.55,15.05,15.11,69430678
19-Aug-11,15.10,20.00,15.03,15.09,79709833
18-Aug-11,15.74,15.78,15.20,15.34,118459958
17-Aug-11,16.30,16.54,16.08,16.23,50792524
16-Aug-11,16.24,16.27,15.95,16.15,59329119
15-Aug-11,16.17,16.41,16.08,16.39,65284738
12-Aug-11,16.04,16.12,15.79,15.88,74809495
11-Aug-11,15.15,15.92,15.00,15.68,131813030
10-Aug-11,15.85,15.89,15.01,15.09,134859282
9-Aug-11,15.59,15.96,14.82,15.96,198450895
8-Aug-11,15.67,16.13,15.30,15.43,173633756
5-Aug-11,16.66,16.95,16.10,16.51,124296268
4-Aug-11,17.19,17.27,16.42,16.47,128116413
3-Aug-11,17.25,17.50,17.06,17.47,86173870
2-Aug-11,17.74,17.88,17.16,17.21,96869840
1-Aug-11,18.39,18.42,17.68,17.97,69111109
29-Jul-11,17.99,18.11,17.78,17.91,70172918
28-Jul-11,18.14,18.46,18.09,18.11,48679934
27-Jul-11,18.47,18.51,18.05,18.11,78142279
26-Jul-11,19.00,19.04,18.50,18.56,68361605
25-Jul-11,18.97,19.14,18.85,18.96,43822773
22-Jul-11,19.43,19.53,18.95,19.04,82155363
21-Jul-11,18.98,19.28,18.86,19.16,67148168
20-Jul-11,18.75,18.91,18.60,18.79,48563407
19-Jul-11,18.40,18.64,18.35,18.58,45677678
18-Jul-11,18.33,18.39,18.16,18.29,39561266
15-Jul-11,18.55,18.68,18.29,18.41,50543068
14-Jul-11,18.65,18.80,18.47,18.53,43748929
13-Jul-11,18.53,18.83,18.50,18.51,57145838
12-Jul-11,18.43,18.66,18.38,18.38,47154080
11-Jul-11,18.72,18.78,18.50,18.63,46560445
8-Jul-11,19.08,19.10,18.85,18.99,54661280
7-Jul-11,19.23,19.45,19.14,19.30,44971734
6-Jul-11,18.97,19.10,18.96,19.05,31582030
5-Jul-11,19.22,19.25,18.91,19.04,41907174
1-Jul-11,19.20,19.20,19.20,19.20,0
30-Jun-11,18.59,18.90,18.56,18.86,45061757
29-Jun-11,18.54,18.61,18.40,18.56,38790857
28-Jun-11,18.33,18.44,18.16,18.44,38701467
27-Jun-11,18.01,18.42,18.00,18.28,46446016
24-Jun-11,18.42,18.43,17.97,17.97,80830864
23-Jun-11,18.34,18.39,18.01,18.38,69354457
22-Jun-11,18.69,18.81,18.56,18.56,48098834
21-Jun-11,18.60,18.94,18.56,18.81,58789290
20-Jun-11,18.34,18.56,18.30,18.48,38905532
17-Jun-11,18.63,18.90,18.34,18.49,56599993
16-Jun-11,18.21,18.61,18.20,18.44,55091130
15-Jun-11,18.47,18.67,18.32,18.39,58468779
14-Jun-11,18.53,18.75,18.50,18.60,49365627
13-Jun-11,18.31,18.52,18.22,18.39,42454178
10-Jun-11,18.51,18.52,18.14,18.32,55838205
9-Jun-11,18.55,18.76,18.49,18.58,39397030
