Date,Open,High,Low,Close,Volume
9-Jul-12,584.95,588.60,581.25,586.01,1715020
6-Jul-12,592.45,593.52,582.82,585.98,2162328
5-Jul-12,588.76,600.06,588.54,595.92,2345901
3-Jul-12,580.01,588.41,578.00,587.83,1190525
2-Jul-12,581.82,583.00,576.50,580.47,1655563
29-Jun-12,574.96,580.13,572.20,580.07,2522562
28-Jun-12,565.90,566.23,557.21,564.31,1922064
27-Jun-12,567.70,573.99,566.02,569.30,1692446
26-Jun-12,562.76,566.60,559.48,564.68,1351151
25-Jun-12,567.33,568.09,557.35,560.70,1582036
22-Jun-12,568.00,571.48,565.82,571.48,2229125
21-Jun-12,579.84,579.84,563.73,565.21,2011322
20-Jun-12,579.81,580.00,573.51,577.51,2346698
19-Jun-12,573.59,584.28,573.12,581.53,2076629
18-Jun-12,562.62,574.21,559.25,570.85,2497864
15-Jun-12,560.34,564.52,557.09,564.51,3002511
14-Jun-12,561.30,565.07,556.52,559.05,2345107
13-Jun-12,561.72,567.00,558.68,561.09,1954607
12-Jun-12,569.77,570.30,558.58,565.10,3224142
11-Jun-12,584.21,585.32,566.69,568.50,2662269
8-Jun-12,575.85,581.00,574.58,580.45,1410366
7-Jun-12,587.60,587.89,577.25,578.23,1759532
6-Jun-12,576.48,581.97,573.61,580.57,2096173
5-Jun-12,575.45,578.13,566.47,570.41,2340477
4-Jun-12,570.22,580.49,570.01,578.59,2433786
1-Jun-12,571.79,572.65,568.35,570.98,3058314
31-May-12,588.72,590.00,579.00,580.86,2969455
30-May-12,588.16,591.90,583.53,588.23,1906629
29-May-12,595.81,599.13,588.32,594.34,2606651
25-May-12,601.00,601.73,588.28,591.53,3582472
24-May-12,609.16,611.92,598.87,603.66,1892185
23-May-12,601.65,609.60,597.12,609.46,3178016
22-May-12,613.44,613.81,596.00,600.80,3052748
21-May-12,600.51,615.69,600.00,614.11,3075829
18-May-12,625.10,632.42,596.70,600.40,5976129
17-May-12,633.83,637.85,621.23,623.05,3354518
16-May-12,617.96,630.10,615.94,628.93,4837424
15-May-12,605.35,615.00,603.75,611.11,2102339
14-May-12,600.78,608.50,600.58,604.00,1824733
11-May-12,610.35,614.55,604.77,605.23,2099726
10-May-12,612.96,616.19,610.23,613.66,1535877
9-May-12,606.82,616.38,601.81,609.15,2329546
8-May-12,605.53,616.90,600.70,612.79,2678485
7-May-12,595.00,610.57,595.00,607.55,1994515
4-May-12,605.92,607.89,596.81,596.97,2207360
3-May-12,609.62,614.83,608.95,611.02,1868187
2-May-12,601.20,608.11,600.61,607.26,1611434
1-May-12,603.79,611.60,600.19,604.43,2002424
30-Apr-12,612.99,616.08,600.61,604.85,2407213
27-Apr-12,615.02,616.74,610.60,614.98,1636399
26-Apr-12,610.91,618.00,609.70,615.47,2093733
25-Apr-12,604.00,611.35,602.88,609.72,1821042
24-Apr-12,598.24,606.63,597.32,601.27,1933303
23-Apr-12,592.90,598.45,590.20,597.60,2197933
20-Apr-12,604.25,608.85,595.83,596.06,3058961
19-Apr-12,605.69,616.26,599.00,599.30,3295787
18-Apr-12,608.05,612.80,602.81,607.45,2670380
17-Apr-12,608.56,617.69,607.01,609.57,3024414
16-Apr-12,623.00,623.81,601.66,606.07,5693458
13-Apr-12,647.55,648.99,623.54,624.60,8163012
12-Apr-12,642.35,653.14,640.26,651.01,5756582
11-Apr-12,633.97,636.00,631.30,635.96,2200268
10-Apr-12,633.52,634.50,624.55,626.86,2485078
9-Apr-12,628.48,635.33,625.29,630.84,2183535
5-Apr-12,632.24,636.43,628.57,632.32,2319712
4-Apr-12,638.45,639.00,631.10,635.15,1628272
3-Apr-12,645.41,647.95,638.64,642.62,2044362
2-Apr-12,640.77,647.50,634.84,646.92,2284338
30-Mar-12,651.75,653.49,641.00,641.24,2312245
29-Mar-12,653.44,656.59,644.30,648.41,1924315
28-Mar-12,652.03,658.59,651.08,655.76,2538808
27-Mar-12,647.03,653.50,644.80,647.02,2008804
26-Mar-12,645.00,649.49,639.54,649.33,1821467
23-Mar-12,646.60,648.50,640.90,642.59,1940335
22-Mar-12,638.50,648.80,631.00,646.05,2410320
21-Mar-12,634.61,647.39,632.51,639.98,2469637
20-Mar-12,630.92,636.06,627.27,633.49,1540778
19-Mar-12,623.12,637.27,621.24,633.98,2172971
16-Mar-12,620.89,625.91,620.05,625.04,3050457
15-Mar-12,616.60,623.50,614.83,621.13,2435340
14-Mar-12,615.00,622.78,613.46,615.99,2936857
13-Mar-12,608.75,617.85,605.55,617.78,2247354
12-Mar-12,600.00,607.00,599.26,605.15,1669376
9-Mar-12,607.95,611.90,600.00,600.25,2671524
8-Mar-12,610.04,611.50,606.35,607.14,1345428
7-Mar-12,609.05,611.19,605.86,606.80,1264892
6-Mar-12,608.05,608.81,593.84,604.96,3175216
5-Mar-12,620.43,622.49,611.38,614.25,1593250
2-Mar-12,622.00,624.00,620.32,621.25,1573214
1-Mar-12,622.26,625.70,618.15,622.40,2238010
29-Feb-12,618.60,625.60,615.50,618.25,3136837
28-Feb-12,610.00,619.77,607.68,618.39,2847797
27-Feb-12,606.59,612.36,605.06,609.31,1814618
24-Feb-12,607.35,611.65,605.51,609.90,1937074
23-Feb-12,607.00,607.94,600.35,606.11,2055030
22-Feb-12,611.96,616.78,606.71,607.94,1967855
21-Feb-12,603.87,617.88,602.88,614.00,2481110
17-Feb-12,604.97,607.63,602.40,604.64,2449229
16-Feb-12,602.82,608.81,597.73,606.52,2530861
15-Feb-12,612.93,612.93,602.56,605.56,2426960
14-Feb-12,611.54,612.00,604.76,609.76,1803851
13-Feb-12,610.50,613.84,610.02,612.20,1816551
10-Feb-12,607.88,608.13,604.00,605.91,2325443
9-Feb-12,612.02,614.50,609.00,611.46,2265433
8-Feb-12,609.70,609.70,609.70,609.70,0
7-Feb-12,607.15,609.39,603.76,606.77,2092035
6-Feb-12,595.01,610.83,594.01,609.09,3679755
3-Feb-12,590.66,597.07,588.05,596.33,3169260
2-Feb-12,584.87,586.41,582.08,585.11,2414672
1-Feb-12,584.94,585.50,579.14,580.83,2320950
31-Jan-12,583.00,584.00,575.15,580.11,2142716
30-Jan-12,578.05,580.00,573.40,577.69,2330967
27-Jan-12,570.78,580.32,569.33,579.98,3618815
