Date,Open,High,Low,Close,Volume
9-Jul-12,19.53,19.58,19.25,19.43,12427811
6-Jul-12,19.95,20.14,19.45,19.57,16535131
5-Jul-12,20.27,20.42,20.13,20.28,10525961
3-Jul-12,19.92,20.37,19.88,20.36,7340675
2-Jul-12,20.11,20.24,19.87,20.16,14849233
29-Jun-12,19.85,20.15,19.76,20.11,18848345
28-Jun-12,19.33,19.40,19.12,19.36,15942276
27-Jun-12,19.36,19.60,19.33,19.51,11518056
26-Jun-12,19.55,19.69,19.24,19.36,21255152
25-Jun-12,20.18,20.27,19.47,19.54,22615775
22-Jun-12,20.38,20.72,20.28,20.37,16099180
21-Jun-12,21.08,21.15,20.22,20.30,19642828
20-Jun-12,20.85,21.22,20.65,21.16,17342431
19-Jun-12,21.17,21.21,20.75,20.81,21721159
18-Jun-12,21.50,21.61,20.97,21.05,21350416
15-Jun-12,21.73,21.99,21.57,21.64,17449781
14-Jun-12,21.48,21.74,21.39,21.59,10875090
13-Jun-12,21.51,21.71,21.34,21.48,11557072
12-Jun-12,21.47,21.80,21.39,21.70,11203800
11-Jun-12,22.36,22.43,21.38,21.41,14401504
8-Jun-12,22.12,22.35,21.94,22.31,11429187
7-Jun-12,22.50,22.75,22.01,22.06,14333402
6-Jun-12,21.70,22.36,21.69,22.35,14728043
5-Jun-12,21.10,21.75,21.06,21.68,20204258
4-Jun-12,21.29,21.42,20.87,21.06,18208090
1-Jun-12,21.87,22.00,21.20,21.25,31344218
31-May-12,22.81,22.88,22.34,22.68,21902523
30-May-12,22.56,22.80,22.45,22.74,20886937
29-May-12,22.38,22.87,22.38,22.80,22777829
25-May-12,21.47,22.36,21.40,22.33,23610857
24-May-12,22.62,22.66,21.32,21.77,58995690
23-May-12,21.15,21.20,20.57,21.08,53778833
22-May-12,21.89,21.91,21.54,21.78,15810063
21-May-12,21.42,21.97,21.40,21.89,16143943
18-May-12,22.11,22.18,21.28,21.46,25561265
17-May-12,22.03,22.27,21.82,22.06,16733311
16-May-12,22.46,22.75,22.01,22.03,16263363
15-May-12,22.97,23.05,22.37,22.40,16066918
14-May-12,23.00,23.18,22.80,22.96,16821897
11-May-12,23.34,23.50,23.13,23.15,16302238
10-May-12,23.29,23.61,23.10,23.51,16117447
9-May-12,23.10,23.53,22.92,23.33,14037929
8-May-12,23.64,23.69,23.00,23.32,24605393
7-May-12,24.19,24.23,23.79,23.87,13193453
4-May-12,24.38,24.59,24.20,24.27,14031655
3-May-12,25.25,25.33,24.45,24.48,14760996
2-May-12,25.06,25.26,24.87,25.25,13610632
1-May-12,24.73,25.40,24.73,25.17,15578580
30-Apr-12,24.66,24.80,24.53,24.76,9249897
27-Apr-12,24.90,24.99,24.66,24.75,8861104
26-Apr-12,24.75,24.97,24.69,24.87,9861599
25-Apr-12,24.62,24.85,24.40,24.83,17869434
24-Apr-12,24.29,24.52,24.22,24.44,11966652
23-Apr-12,24.26,24.47,24.06,24.27,16796135
20-Apr-12,24.77,24.94,24.45,24.51,19645838
19-Apr-12,24.86,25.15,24.48,24.71,18077856
18-Apr-12,24.56,25.08,24.52,24.93,18103007
17-Apr-12,24.40,25.07,24.36,24.72,15919506
16-Apr-12,24.78,24.82,24.17,24.31,15134222
13-Apr-12,24.93,25.05,24.33,24.57,24483292
12-Apr-12,23.99,25.14,23.96,25.10,43412474
11-Apr-12,23.51,23.58,23.24,23.41,16611294
10-Apr-12,23.17,23.61,23.10,23.27,25849768
9-Apr-12,22.89,23.32,22.85,23.14,15265197
5-Apr-12,23.15,23.37,23.08,23.11,14733179
4-Apr-12,23.22,23.38,23.15,23.27,15361671
3-Apr-12,23.83,24.06,23.35,23.45,15854594
2-Apr-12,23.88,23.99,23.69,23.88,13918384
30-Mar-12,23.63,23.92,23.55,23.83,16903949
29-Mar-12,23.41,23.61,23.37,23.51,17345263
28-Mar-12,23.70,23.81,23.45,23.58,20502103
27-Mar-12,23.96,23.97,23.62,23.62,18366751
26-Mar-12,23.86,23.93,23.55,23.89,23853049
23-Mar-12,23.09,23.64,22.92,23.63,20691793
22-Mar-12,23.16,23.28,22.91,23.03,34291853
21-Mar-12,24.10,24.14,23.36,23.46,45513231
20-Mar-12,24.36,24.37,23.97,23.98,24145936
19-Mar-12,24.53,24.60,24.31,24.34,11763930
16-Mar-12,24.26,24.55,24.21,24.49,20823721
15-Mar-12,24.12,24.59,24.08,24.40,20441953
14-Mar-12,24.27,24.54,24.18,24.34,21666133
13-Mar-12,24.07,24.64,23.91,24.57,23335954
12-Mar-12,23.97,24.29,23.95,24.04,16613858
9-Mar-12,24.59,24.67,24.04,24.18,23427549
8-Mar-12,24.44,24.74,24.34,24.64,13984563
7-Mar-12,24.23,24.52,24.19,24.36,16433662
6-Mar-12,24.58,24.79,24.02,24.17,32284685
5-Mar-12,25.18,25.23,24.72,25.01,24717217
2-Mar-12,25.25,25.57,25.17,25.32,22613893
1-Mar-12,25.35,25.65,25.19,25.25,25214079
29-Feb-12,26.23,26.25,25.28,25.31,38840885
28-Feb-12,26.19,26.38,26.01,26.18,23096513
27-Feb-12,26.32,26.61,26.11,26.25,28237147
24-Feb-12,27.00,27.09,26.57,26.64,27874901
23-Feb-12,27.60,27.87,26.85,27.05,71378856
22-Feb-12,29.15,29.22,28.78,28.94,28629782
21-Feb-12,29.52,29.72,29.17,29.35,14343381
17-Feb-12,29.95,30.00,29.53,29.59,18530951
16-Feb-12,28.94,29.98,28.93,29.88,20625644
15-Feb-12,29.46,29.55,28.96,29.12,15741753
14-Feb-12,28.70,29.08,28.63,29.08,10977712
13-Feb-12,28.87,29.00,28.42,28.75,9160625
10-Feb-12,28.90,28.99,28.49,28.70,10024459
9-Feb-12,29.38,29.49,29.03,29.11,16034276
8-Feb-12,28.97,29.56,28.89,29.46,13190540
7-Feb-12,28.73,29.17,28.59,28.95,14586158
6-Feb-12,28.98,29.11,28.74,28.76,12803961
3-Feb-12,28.88,29.21,28.80,29.07,11630340
2-Feb-12,28.72,28.85,28.38,28.50,12708698
1-Feb-12,28.23,28.91,28.17,28.76,14960991
31-Jan-12,28.19,28.23,27.47,27.98,13751595
30-Jan-12,27.26,28.04,27.23,27.88,12122371
27-Jan-12,27.66,28.08,27.60,27.88,11903378
26-Jan-12,28.21,28.47,27.85,27.99,11408234
25-Jan-12,28.41,28.54,28.04,28.32,13320370
24-Jan-12,28.23,28.84,28.20,28.52,14887610
23-Jan-12,27.94,28.88,27.94,28.68,22237220
20-Jan-12,27.12,28.18,27.05,28.13,22492008
19-Jan-12,27.02,27.25,26.88,27.15,11182870
18-Jan-12,26.40,27.00,26.40,27.00,11468311
