Date,Open,High,Low,Close,Volume
9-Jul-12,190.76,191.00,188.05,189.67,3988256
6-Jul-12,193.92,193.94,189.74,191.41,4952950
5-Jul-12,194.88,196.85,193.63,195.29,2690781
3-Jul-12,195.46,196.34,194.91,195.93,1451425
2-Jul-12,196.36,197.20,194.85,195.83,2831680
29-Jun-12,194.55,195.81,192.41,195.58,5262273
28-Jun-12,191.23,192.08,188.90,191.40,3967265
27-Jun-12,192.14,193.70,190.90,193.00,2762612
26-Jun-12,193.54,193.68,190.75,191.95,3436150
25-Jun-12,192.48,193.39,191.68,192.86,3211529
22-Jun-12,193.87,194.88,193.22,193.70,8833353
21-Jun-12,199.07,199.45,193.19,193.39,4316544
20-Jun-12,198.70,199.74,197.50,198.78,3378824
19-Jun-12,198.83,199.99,198.80,198.93,3297517
18-Jun-12,197.57,199.64,197.17,198.29,3378912
15-Jun-12,196.08,199.27,195.40,199.10,6390633
14-Jun-12,193.00,195.83,192.74,195.10,3584945
13-Jun-12,194.36,195.19,192.34,193.10,3247653
12-Jun-12,192.14,194.67,192.14,194.55,3023630
11-Jun-12,196.60,196.70,192.37,192.51,3273511
8-Jun-12,193.71,195.14,192.70,195.14,2476647
7-Jun-12,195.28,195.83,193.94,194.44,3701066
6-Jun-12,190.78,194.00,190.02,193.99,3645267
5-Jun-12,187.92,189.85,187.56,189.20,3556762
4-Jun-12,188.34,189.38,187.00,188.54,4625073
1-Jun-12,190.12,191.72,188.60,189.08,5206323
31-May-12,194.10,194.93,192.00,192.90,9290067
30-May-12,194.80,195.47,193.77,194.53,3602417
29-May-12,195.22,198.08,195.22,196.46,3618533
25-May-12,195.11,196.00,194.00,194.30,2903063
24-May-12,195.99,196.28,194.00,196.09,3569476
23-May-12,195.53,196.49,193.20,196.12,4066664
22-May-12,198.04,198.26,196.06,196.82,3567786
21-May-12,195.98,197.93,194.63,197.76,3831863
18-May-12,198.78,198.78,195.16,195.88,5737095
17-May-12,199.67,200.79,197.64,197.89,5627456
16-May-12,199.42,201.35,198.18,199.73,5001087
15-May-12,199.44,201.47,198.76,199.04,2987339
14-May-12,199.92,200.71,198.56,199.44,3029639
11-May-12,199.96,202.12,199.95,201.17,2391580
10-May-12,201.00,203.25,200.02,200.60,3831076
9-May-12,199.99,203.00,199.06,201.23,3743290
8-May-12,202.44,203.06,199.72,201.48,3881592
7-May-12,203.96,204.77,202.90,203.75,3375923
4-May-12,206.47,207.11,204.40,204.99,4024251
3-May-12,208.27,208.92,206.55,207.24,2826568
2-May-12,206.97,208.27,206.91,208.06,2360257
1-May-12,207.18,208.93,206.71,208.00,2715870
30-Apr-12,206.71,207.96,206.32,207.08,2773199
27-Apr-12,206.47,208.17,205.91,206.81,3311119
26-Apr-12,203.40,206.21,203.40,205.58,3304328
25-Apr-12,202.02,203.69,201.80,203.57,4003311
24-Apr-12,199.06,202.48,198.87,200.00,5631646
23-Apr-12,197.89,199.10,196.79,198.62,3618928
20-Apr-12,199.83,200.12,199.09,199.60,4758663
19-Apr-12,200.03,201.26,197.52,199.51,5763201
18-Apr-12,202.43,204.07,200.00,200.13,10155310
17-Apr-12,204.57,207.64,204.15,207.45,6073651
16-Apr-12,204.74,205.97,202.72,202.72,3827191
13-Apr-12,204.32,204.65,202.80,202.80,3768117
12-Apr-12,202.80,205.56,202.35,205.32,2929585
11-Apr-12,203.99,204.32,202.46,202.58,3367363
10-Apr-12,204.94,205.74,202.17,202.33,4132997
9-Apr-12,204.40,206.17,203.37,204.94,3326810
5-Apr-12,205.15,205.68,204.46,205.47,3809119
4-Apr-12,206.22,206.98,205.19,206.05,4404078
3-Apr-12,209.31,210.69,208.54,209.50,4091291
2-Apr-12,208.96,209.69,208.09,209.47,3388035
30-Mar-12,208.74,209.12,208.01,208.65,3217344
29-Mar-12,206.09,208.50,206.02,208.27,3403665
28-Mar-12,207.44,208.69,206.27,207.29,3265696
27-Mar-12,208.46,208.66,207.00,207.18,2705065
26-Mar-12,206.45,207.92,206.32,207.77,3418255
23-Mar-12,205.89,205.96,204.56,205.48,3036189
22-Mar-12,204.00,205.99,203.96,205.49,3308534
