Date,Open,High,Low,Close,Volume
9-Jul-12,29.23,29.36,29.02,29.10,21878858
6-Jul-12,29.37,29.48,28.94,29.18,25260620
5-Jul-12,29.83,29.93,29.71,29.72,19246449
3-Jul-12,29.63,29.98,29.61,29.97,14468399
2-Jul-12,29.53,29.80,29.15,29.80,24449556
29-Jun-12,28.81,29.71,28.79,29.70,35545233
28-Jun-12,28.03,28.26,27.73,28.17,27178878
27-Jun-12,27.76,28.46,27.76,28.17,19391535
26-Jun-12,27.63,27.94,27.52,27.83,20614164
25-Jun-12,27.54,27.75,27.24,27.62,24919359
22-Jun-12,27.91,28.14,27.79,28.00,22166986
21-Jun-12,28.49,28.64,27.75,27.81,32721808
20-Jun-12,28.04,28.58,27.94,28.49,29282359
19-Jun-12,28.38,28.75,27.53,27.96,81054694
18-Jun-12,27.42,27.43,26.69,27.12,38321948
15-Jun-12,27.11,27.76,26.99,27.70,40136399
14-Jun-12,27.09,27.35,26.51,26.91,34312058
13-Jun-12,26.88,27.38,26.79,27.02,19639522
12-Jun-12,27.00,27.15,26.73,27.03,26186847
11-Jun-12,27.38,27.42,26.77,26.81,20471013
8-Jun-12,27.04,27.27,26.80,27.16,22343155
7-Jun-12,27.75,27.76,27.18,27.18,32898572
6-Jun-12,26.99,27.57,26.88,27.53,27642035
5-Jun-12,26.07,26.94,26.07,26.70,28412958
4-Jun-12,26.04,26.34,25.84,26.20,28950191
1-Jun-12,25.98,26.28,25.90,26.00,30740652
31-May-12,26.22,26.72,26.17,26.47,32192248
30-May-12,26.19,26.34,25.98,26.17,21538769
29-May-12,26.41,26.78,26.16,26.46,24140779
25-May-12,26.18,26.32,26.04,26.14,18645415
24-May-12,26.62,26.65,25.90,26.12,34231940
23-May-12,26.12,26.85,26.04,26.68,33179548
22-May-12,26.33,26.49,26.07,26.36,22123830
21-May-12,25.54,26.46,25.53,26.26,30714299
18-May-12,26.29,26.29,25.32,25.61,68184658
17-May-12,26.70,26.72,26.25,26.25,29443634
16-May-12,27.16,27.41,26.68,26.72,29675291
15-May-12,27.02,27.52,26.94,27.06,26393270
14-May-12,26.73,27.30,26.66,26.96,22485147
11-May-12,26.97,27.31,26.77,27.00,25588873
10-May-12,27.70,27.75,26.74,27.02,52653299
9-May-12,27.62,27.91,27.41,27.78,25524406
8-May-12,27.71,28.02,27.53,27.93,24661466
7-May-12,28.34,28.45,27.85,27.92,33671329
4-May-12,29.10,29.15,28.41,28.41,33934954
3-May-12,29.74,29.82,29.34,29.38,19176518
2-May-12,29.42,29.79,29.19,29.71,22582294
1-May-12,29.45,29.78,29.29,29.57,19970376
30-Apr-12,29.23,29.42,29.20,29.40,18568419
27-Apr-12,29.06,29.44,29.06,29.24,16847952
26-Apr-12,28.84,29.22,28.74,29.02,20550528
25-Apr-12,28.68,28.99,28.60,28.87,26902797
24-Apr-12,28.53,28.85,28.52,28.69,20489271
23-Apr-12,28.60,28.66,28.26,28.48,23047057
20-Apr-12,29.12,29.53,28.88,28.88,35730690
19-Apr-12,28.99,29.46,28.67,29.01,26462407
18-Apr-12,29.13,29.35,29.10,29.12,21155055
17-Apr-12,28.72,29.44,28.70,29.28,24985835
16-Apr-12,28.58,28.77,28.31,28.64,21476739
13-Apr-12,28.70,28.77,28.49,28.50,31477884
12-Apr-12,28.32,28.72,28.16,28.70,29414323
11-Apr-12,28.49,28.55,28.04,28.14,30390104
10-Apr-12,28.88,28.96,28.08,28.35,41175000
9-Apr-12,29.10,29.25,29.00,29.01,21528479
5-Apr-12,29.15,29.63,29.13,29.56,43264831
4-Apr-12,29.19,29.48,28.93,29.16,31153973
3-Apr-12,29.60,29.70,29.12,29.39,29991407
2-Apr-12,29.12,29.68,29.00,29.53,28525303
30-Mar-12,29.46,29.49,29.04,29.16,32006118
29-Mar-12,29.21,29.58,29.10,29.30,34035472
28-Mar-12,29.38,29.54,29.14,29.36,29405386
27-Mar-12,29.17,29.52,29.00,29.35,31710037
26-Mar-12,28.78,29.19,28.65,29.16,30044384
