Date,Open,High,Low,Close,Volume
9-Jul-12,15.78,15.84,15.70,15.75,10375997
6-Jul-12,15.80,15.91,15.68,15.78,12152459
5-Jul-12,15.90,15.99,15.81,15.85,11440727
3-Jul-12,15.83,15.99,15.82,15.98,8149095
2-Jul-12,15.80,15.94,15.76,15.84,7226555
29-Jun-12,15.61,15.83,15.53,15.83,13503678
28-Jun-12,15.41,15.48,15.29,15.45,12479185
27-Jun-12,15.41,15.63,15.38,15.52,11262245
26-Jun-12,15.40,16.35,15.19,15.34,13640323
25-Jun-12,15.51,15.55,15.31,15.44,13383517
22-Jun-12,15.53,15.70,15.52,15.61,11042683
21-Jun-12,15.74,15.80,15.47,15.52,13102879
20-Jun-12,15.69,15.75,15.58,15.74,11260690
19-Jun-12,15.52,15.69,15.51,15.65,10638148
18-Jun-12,15.33,15.54,15.27,15.49,9659149
15-Jun-12,15.44,15.44,15.33,15.36,11716895
14-Jun-12,15.30,15.46,15.25,15.36,11612611
13-Jun-12,15.47,15.49,15.27,15.34,16456268
12-Jun-12,15.35,15.52,15.26,15.47,17012443
11-Jun-12,15.73,15.73,15.27,15.30,17147687
8-Jun-12,15.52,15.68,15.40,15.65,16422357
7-Jun-12,15.47,15.50,15.33,15.36,12643619
6-Jun-12,15.14,15.41,15.14,15.36,18300693
5-Jun-12,15.00,15.14,14.91,15.10,9725441
4-Jun-12,14.90,15.03,14.81,15.01,15479055
1-Jun-12,15.04,15.12,14.85,14.92,16202329
31-May-12,15.23,15.37,15.12,15.24,17161481
30-May-12,15.30,15.34,15.16,15.25,14925544
29-May-12,15.40,15.55,15.28,15.47,18465318
25-May-12,15.40,15.48,15.28,15.36,13629383
24-May-12,15.34,15.51,15.22,15.35,13879511
23-May-12,15.19,15.43,15.14,15.38,18115269
22-May-12,15.58,15.61,15.19,15.29,33543631
21-May-12,16.00,16.00,15.10,15.58,51152115
18-May-12,15.78,15.87,15.36,15.42,32684254
17-May-12,15.26,15.37,14.85,14.87,17347626
16-May-12,15.40,15.57,15.26,15.28,17247303
15-May-12,15.47,15.55,15.34,15.40,13743166
14-May-12,15.48,15.77,15.40,15.50,30819739
11-May-12,14.88,15.44,14.80,15.19,21134710
10-May-12,15.40,15.54,15.30,15.44,11175681
9-May-12,15.17,15.45,15.03,15.30,19009078
8-May-12,15.31,15.44,15.09,15.36,18604517
7-May-12,15.34,15.49,15.16,15.35,13467153
4-May-12,15.25,15.29,15.09,15.15,13771297
3-May-12,15.64,15.64,15.32,15.40,10934219
2-May-12,15.58,15.77,15.54,15.67,10840951
1-May-12,15.51,15.72,15.50,15.63,9799226
30-Apr-12,15.55,15.57,15.45,15.54,10895462
27-Apr-12,15.51,15.62,15.49,15.57,9711543
26-Apr-12,15.44,15.55,15.38,15.53,12543229
25-Apr-12,15.43,15.51,15.38,15.50,13236914
24-Apr-12,15.33,15.52,15.33,15.43,12140621
23-Apr-12,15.41,15.47,15.29,15.33,21683640
20-Apr-12,15.41,15.70,15.39,15.60,24560459
19-Apr-12,15.44,15.57,15.36,15.40,18436172
18-Apr-12,15.40,15.57,15.30,15.49,36562348
17-Apr-12,14.82,15.18,14.82,15.01,20558906
16-Apr-12,15.00,15.04,14.73,14.78,13639142
13-Apr-12,14.99,15.18,14.86,14.87,15336610
12-Apr-12,14.90,15.10,14.84,15.06,9487715
